Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,GS,KO,NVDA,PFE,XOM,GS,KO,NVDA,PFE,XOM,GS,KO,NVDA,PFE,XOM,GS,KO,NVDA,PFE,XOM,GS,KO,NVDA,PFE,XOM
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-10,316.49163818359375,56.574424743652344,18.046897888183594,40.2834587097168,79.96098327636719,318.119998192739,56.69886126751641,18.067839657584745,40.364105042885235,80.25827198548954,310.524047852917,56.08556212755641,17.269056663137828,39.8237678424438,77.98491560008212,310.5331259148553,56.55664761300877,17.64900236749365,40.267328827791026,79.28772257922427,2459500,8857300,597422000,17355100,18302000
2022-08-11,319.92120361328125,56.192230224609375,17.892324447631836,38.94471740722656,82.27408599853516,323.896562254066,56.87663456121577,18.655207729285816,39.62215720727519,83.25406543068414,318.1927904340261,56.06779368897936,17.826507193274058,38.55760938955036,80.72907422983214,318.3929242397289,56.609980966989966,18.080802254514673,38.8882643469276,81.08221438839084,2360800,8507800,509327000,44048800,18797900
2022-08-12,321.8679504394531,56.618865966796875,18.65720558166504,40.41250228881836,82.98918914794922,322.54111514227685,56.67219396817315,18.666181442081236,40.638314525325576,83.00684345852116,318.52936111262716,56.07667534853156,17.903297977027467,39.15439895014748,81.32057726670408,321.52226226395163,56.378879788680706,18.10972564798509,39.15439895014748,81.64723926586746,2369000,9489300,478094000,25835500,15058200
2022-08-15,323.714599609375,57.32993698120117,18.97930908203125,40.122169494628906,81.5059814453125,326.2344418718543,57.498818035342175,19.110943606719005,40.380241494507636,81.86795881735392,317.528664055127,56.50331901394186,18.56147037086015,39.831837725650104,79.15756736381618,319.30257837297273,56.56553727894924,18.649226086629287,40.29959514821837,79.92565451842405,2045700,9863300,457666000,15797800,20755200
2022-08-16,322.9140319824219,57.801021575927734,18.82672882080078,40.21087646484375,80.74673461914062,324.2785727782861,57.9787928987675,19.089001131232823,40.46894842713516,82.00923031456122,320.2304239792274,57.178838899194986,18.449775142788685,39.80763863920586,80.59664936688856,321.11282813768577,57.39215770532013,18.867615667988698,39.823768521406635,81.24996679224017,1740900,9569600,451240000,12874800,14038200
2022-08-17,321.7951354980469,57.66769790649414,18.28424072265625,39.73505783081055,81.4000244140625,323.478074891918,57.969905781069485,18.63626412135766,40.21087861354757,82.29171857098929,319.0933433014329,57.5610418882888,18.094768085558428,39.71892794774786,80.26996003951349,320.12130192758985,57.623260159336226,18.471721894186565,40.041519456080316,80.57896096447378,1576300,8144000,446799000,13607200,13678000
2022-08-18,322.504638671875,57.96989822387695,18.721025466918945,39.178585052490234,83.32466888427734,323.03227662680104,58.08544448896398,18.812769810722802,39.936670988217806,84.14573234842406,319.175156004705,57.51658986175053,18.13265879882492,39.01728932161241,82.185773967189,320.81262151535435,57.73879891242085,18.250332132443727,39.831828301678186,82.23875036648933,1102200,6532000,415447000,18916300,17770400
2022-08-19,317.7287902832031,57.92545700073242,17.799585342407227,39.63827896118164,83.059814453125,320.08489424048787,58.19211058923853,18.468727183536906,39.88022103803969,84.04861743794055,316.1186420144765,57.73880220129113,17.72080358497965,39.29955759241203,82.81261370692111,319.3025707829677,57.96101126461873,18.355042477008766,39.38827040510075,83.13044516224473,1812300,8921100,441588000,15350200,16128600
2022-08-22,311.4974365234375,57.063289642333984,16.98683738708496,39.43666458129883,82.99801635742188,313.41687756759376,57.703252884589894,17.509386725743322,39.83990244787055,83.42178715138537,309.9873411286316,56.876638217531365,16.919024871308032,39.30762858705431,81.09985810023142,311.51562040952257,57.632144350720786,17.441574209966397,39.686670089638405,82.47712328418574,1723900,9087900,409593000,13601200,16019900
2022-08-23,309.4596862792969,57.12549591064453,17.133438110351562,38.718894958496094,86.52064514160156,312.99840912792325,57.21438494994461,17.416652317313172,39.130199266591845,86.88262250237833,308.41354377212025,56.60108584143843,16.923021774033224,38.5172760441442,84.26933994618179,311.0698623644345,56.725522358920614,16.94197018119619,39.04954985497479,84.35763170734779,1538000,8443800,369986000,16248900,23764700
2022-08-24,311.060791015625,57.20550537109375,17.174320220947266,38.25114440917969,87.03273010253906,313.2258673336424,57.40105044401526,17.357810823683003,38.718898736356124,87.37704650534862,307.9223353846065,56.929968285404094,16.84822587028311,38.21082123766701,85.95563500217385,308.4044721289134,57.09884257278669,16.96490062655106,38.630188989612556,86.52949791876223,1530800,6844700,522661000,15551500,17050300
2022-08-25,315.1997985839844,57.48103332519531,17.863407135009766,38.630191802978516,87.48295593261719,315.53638085100937,57.516587585649425,17.897313400062618,38.67051497742786,88.16276471579573,311.21533526391704,56.79663245997861,16.78639724119501,38.12211119082605,86.60892280424561,313.34404320444355,57.205496283278194,16.797366467637275,38.32373013953374,87.3328707285391,1763900,7913900,770691000,14460000,15305700
2022-08-26,306.0210876464844,56.094459533691406,16.214981079101562,37.759193420410156,86.40586853027344,317.2467094342093,57.596595053331264,17.874373512103524,38.678575260082475,88.2069111987314,305.65721556124356,55.97890986510955,16.19204404414736,37.66241719425011,86.00857584321814,316.88283734896856,57.53437678347367,17.80755957837467,38.404373388911715,87.20044043295373,1703900,10089500,769127000,16546700,15531400
2022-08-29,303.7649841308594,55.75669860839844,15.75725269317627,37.28336715698242,88.39232635498047,306.02100712271795,56.02334881030498,16.29276564803654,37.65434519998675,89.66364565063604,302.02746553724535,55.472271274279294,15.723347381626995,37.19465434746828,86.6442530618442,303.7649841308594,55.72114434397323,15.97564717969457,37.40433972931268,86.67956842223965,1835600,9115900,496132000,13400500,23059200
2022-08-30,303.5011901855469,55.241172790527344,15.425176620483398,36.97691345214844,85.02860260009766,305.6662661799399,55.91668683026304,15.994594931513266,37.380151343999394,87.06802237076188,301.27242895328214,55.098959130022926,15.139968172102677,36.93659027825553,84.59600126389672,304.74746642728013,55.91668683026304,15.915814125564097,37.3720879398052,86.83847591787918,1830300,8456800,530181000,16303000,17086800
2022-08-31,304.9127502441406,54.8500862121582,15.05220890045166,36.476898193359375,84.3929443359375,307.1766599291492,55.57893169299324,15.496974153107734,37.331763605026055,85.49652404575392,302.1722103278096,54.84119934121007,14.91758244853525,36.39625184808139,82.62721680023122,303.8861771150464,55.445608284923225,15.341405935475509,37.105948300618124,83.01567901351572,2488000,14633600,573710000,26416800,18340900
